,,,,sourdough added,,,,,,,
,,,,soy protein added,,,,,,,
,,,,spice or herb added,,,,,,,
,,,,spray-drying,,,,,,,
,,,,stabilizer added,,,,,,,
,,,,starch added,,,,,,,
,,,,steaming with pressure,,,,,,,
,,,,steaming without pressure,,,,,,,
,,,,steeping,,,,,,,
,,,,sterilization after filling,,,,,,,
,,,,sterilization at ultra high temperature (uht),,,,,,,
,,,,sterilization before filling,,,,,,,
,,,,sterilization by heating,,,,,,,
,,,,sterilization by hot filling and cooling,,,,,,,
,,,,"sterilization by hot filling, held hot and cooling",,,,,,,
,,,,sterilization by irradiation,,,,,,,
,,,,sterilization by ultra high pressure,,,,,,,
,,,,stir-frying,,,,,,,
,,,,sucrose added,,,,,,,
,,,,sugar coating or covering process,,,,,,,
,,,,sugar or sugar syrup added,,,,,,,
,,,,sugar syrup or sugar syrup solids added,,,,,,,
,,,,sun drying,,,,,,,
,,,,surface bacteria curing process,,,,,,,
,,,,surface mold curing process,,,,,,,
,,,,surface pasteurization or disinfection by ultraviolet irradiation,,,,,,,
,,,,sweetener added,,,,,,,
,,,,taurine added,,,,,,,
,,,,textual definition,,,,,,,
,,,,textual definition,,,,,,,
,,,,tree nut added,,,,,,,
,,,,trophic interaction,,,,,,,
,,,,ultra high temperature (uht) pasteurization,,,,,,,
,,,,ultra pasteurization (up) by heat,,,,,,,
,,,,vegetable fat or oil added,,,,,,,
,,,,vegetable fat or oil coated,,,,,,,
,,,,vitamin a or carotenes added,,,,,,,
,,,,vitamin b added,,,,,,,
,,,,water addition or removal process,,,,,,,
,,,,water addition process,,,,,,,
,,,,water removal process,,,,,,,
,,,,water removal to reconstitution ratio 1 plus 1,,,,,,,
,,,,water removal to reconstitution ratio 2 plus 1,,,,,,,
,,,,water removal to reconstitution ratio 3 plus 1 or higher,,,,,,,
,,,,wheat germ added,,,,,,,
,,,,wheat malt added,,,,,,,
,,,,yeast added,,,,,,,
,,,,zinc added,,,,,,,
